year,Territory/Province,avg temp,avg rain
2000,ON,7.26913774973711,65.93357829282078
2000,QC,4.166254635352285,69.03405247813413
2000,NB,6.972000000000004,85.05533333333332
2000,NS,8.141506129597197,94.7911564625851
2000,PE,7.754166666666664,72.33452380952383
2000,NL,5.2378947368421045,88.55364238410591
2000,XX,9.316666666666666,67.78333333333335
2001,BC,8.592425401683228,97.22291060291056
2001,YT,-2.879878048780489,25.991160220994477
2001,NT,-4.7581497797356835,15.691450777202075
2001,NU,-9.146298788694498,18.814509803921588
2001,AB,3.0977437550362636,30.179809681423194
2001,SK,3.0303532008830056,32.310081112398635
2001,MB,3.1090452261306556,41.796210268948656
2001,ON,7.26913774973711,65.93357829282078
2001,QC,4.166254635352285,69.03405247813413
2001,NB,6.972000000000004,85.05533333333332
2001,NS,8.141506129597197,94.7911564625851
2001,PE,7.754166666666664,72.33452380952383
2001,NL,5.2378947368421045,88.55364238410591
2001,XX,9.316666666666666,67.78333333333335
2002,BC,8.592425401683228,97.22291060291056
2002,YT,-2.879878048780489,25.991160220994477
2002,NT,-4.7581497797356835,15.691450777202075
2002,NU,-9.146298788694498,18.814509803921588
2002,AB,3.0977437550362636,30.179809681423194
2002,SK,3.0303532008830056,32.310081112398635
2002,MB,3.1090452261306556,41.796210268948656
2002,ON,7.26913774973711,65.93357829282078
2002,QC,4.166254635352285,69.03405247813413
2002,NB,6.972000000000004,85.05533333333332
2002,NS,8.141506129597197,94.7911564625851
2002,PE,7.754166666666664,72.33452380952383
2002,NL,5.2378947368421045,88.55364238410591
2002,XX,9.316666666666666,67.78333333333335
2003,BC,8.592425401683228,97.22291060291056
2003,YT,-2.879878048780489,25.991160220994477
2003,NT,-4.7581497797356835,15.691450777202075
2003,NU,-9.146298788694498,18.814509803921588
2003,AB,3.0977437550362636,30.179809681423194
2003,SK,3.0303532008830056,32.310081112398635
2003,MB,3.1090452261306556,41.796210268948656
2003,ON,7.26913774973711,65.93357829282078
2003,QC,4.166254635352285,69.03405247813413
2003,NB,6.972000000000004,85.05533333333332
2003,NS,8.141506129597197,94.7911564625851
2003,PE,7.754166666666664,72.33452380952383
2003,NL,5.2378947368421045,88.55364238410591
2003,XX,9.316666666666666,67.78333333333335
